Epoch 0, Loss: 1.7757587432861328, Test accuracy: 0.22684025764465332
Epoch 1, Loss: 1.7692147493362427, Test accuracy: 0.22709064185619354
Epoch 2, Loss: 1.7625185251235962, Test accuracy: 0.22784176468849182
Epoch 3, Loss: 1.7570801973342896, Test accuracy: 0.22934402525424957
Epoch 4, Loss: 1.7515727281570435, Test accuracy: 0.22834251821041107
Epoch 5, Loss: 1.7453393936157227, Test accuracy: 0.22233350574970245
Epoch 6, Loss: 1.7415313720703125, Test accuracy: 0.21832749247550964
Epoch 7, Loss: 1.735228180885315, Test accuracy: 0.21682524681091309
Epoch 8, Loss: 1.7297722101211548, Test accuracy: 0.21331998705863953
Epoch 9, Loss: 1.7242997884750366, Test accuracy: 0.21582373976707458
Epoch 10, Loss: 1.7187597751617432, Test accuracy: 0.3590385615825653
Epoch 11, Loss: 1.7143179178237915, Test accuracy: 0.34401601552963257
Epoch 12, Loss: 1.7084933519363403, Test accuracy: 0.3647972047328949
Epoch 13, Loss: 1.704149842262268, Test accuracy: 0.36354532837867737
Epoch 14, Loss: 1.698858380317688, Test accuracy: 0.3617926836013794
Epoch 15, Loss: 1.6940416097640991, Test accuracy: 0.3597896993160248
Epoch 16, Loss: 1.6896038055419922, Test accuracy: 0.3597896993160248
Epoch 17, Loss: 1.6862436532974243, Test accuracy: 0.3597896993160248
Epoch 18, Loss: 1.679242491722107, Test accuracy: 0.35953933000564575
Epoch 19, Loss: 1.6757147312164307, Test accuracy: 0.35928893089294434
Epoch 20, Loss: 1.6713544130325317, Test accuracy: 0.3597896993160248
Epoch 21, Loss: 1.66697096824646, Test accuracy: 0.3607912063598633
Epoch 22, Loss: 1.66249418258667, Test accuracy: 0.3600400686264038
Epoch 23, Loss: 1.6577022075653076, Test accuracy: 0.3597896993160248
Epoch 24, Loss: 1.6538931131362915, Test accuracy: 0.3600400686264038
Epoch 25, Loss: 1.649154782295227, Test accuracy: 0.3600400686264038
Epoch 26, Loss: 1.6457220315933228, Test accuracy: 0.3597896993160248
Epoch 27, Loss: 1.641488790512085, Test accuracy: 0.36054080724716187
Epoch 28, Loss: 1.6376516819000244, Test accuracy: 0.36029043793678284
Epoch 29, Loss: 1.6356329917907715, Test accuracy: 0.3597896993160248
Epoch 30, Loss: 1.6289992332458496, Test accuracy: 0.3607912063598633
Epoch 31, Loss: 1.6262142658233643, Test accuracy: 0.36129194498062134
Epoch 32, Loss: 1.6231905221939087, Test accuracy: 0.3600400686264038
Epoch 33, Loss: 1.6200053691864014, Test accuracy: 0.36054080724716187
Epoch 34, Loss: 1.6166492700576782, Test accuracy: 0.3620430827140808
Epoch 35, Loss: 1.6133465766906738, Test accuracy: 0.3627941906452179
Epoch 36, Loss: 1.6087887287139893, Test accuracy: 0.3640460669994354
Epoch 37, Loss: 1.6045317649841309, Test accuracy: 0.3640460669994354
Epoch 38, Loss: 1.6015256643295288, Test accuracy: 0.3637956976890564
Epoch 39, Loss: 1.5985333919525146, Test accuracy: 0.36454683542251587
Epoch 40, Loss: 1.5954948663711548, Test accuracy: 0.3650475740432739
Epoch 41, Loss: 1.5921294689178467, Test accuracy: 0.36629945039749146
Epoch 42, Loss: 1.5877257585525513, Test accuracy: 0.36830246448516846
Epoch 43, Loss: 1.5859254598617554, Test accuracy: 0.3685528337955475
Epoch 44, Loss: 1.5833648443222046, Test accuracy: 0.369554340839386
Epoch 45, Loss: 1.5810165405273438, Test accuracy: 0.3713069558143616
Epoch 46, Loss: 1.576287031173706, Test accuracy: 0.371807724237442
Epoch 47, Loss: 1.5760562419891357, Test accuracy: 0.3725588321685791
Epoch 48, Loss: 1.5707892179489136, Test accuracy: 0.3735603392124176
Epoch 49, Loss: 1.568092942237854, Test accuracy: 0.37581372261047363
Epoch 50, Loss: 1.5654187202453613, Test accuracy: 0.37581372261047363
Epoch 51, Loss: 1.5633528232574463, Test accuracy: 0.37706559896469116
Epoch 52, Loss: 1.5606154203414917, Test accuracy: 0.3773159682750702
Epoch 53, Loss: 1.5581411123275757, Test accuracy: 0.3775663673877716
Epoch 54, Loss: 1.55396568775177, Test accuracy: 0.37806710600852966
Epoch 55, Loss: 1.5518323183059692, Test accuracy: 0.3795693516731262
Epoch 56, Loss: 1.5497297048568726, Test accuracy: 0.3805708587169647
Epoch 57, Loss: 1.5469095706939697, Test accuracy: 0.38107162714004517
Epoch 58, Loss: 1.5450495481491089, Test accuracy: 0.3820731043815613
Epoch 59, Loss: 1.5425738096237183, Test accuracy: 0.38282424211502075
Epoch 60, Loss: 1.5400203466415405, Test accuracy: 0.3840761184692383
Epoch 61, Loss: 1.5394376516342163, Test accuracy: 0.38557836413383484
Epoch 62, Loss: 1.5349520444869995, Test accuracy: 0.3860791325569153
Epoch 63, Loss: 1.5327016115188599, Test accuracy: 0.38657987117767334
Epoch 64, Loss: 1.5308516025543213, Test accuracy: 0.38783174753189087
Epoch 65, Loss: 1.5279382467269897, Test accuracy: 0.39258888363838196
Epoch 66, Loss: 1.5259612798690796, Test accuracy: 0.392839252948761
Epoch 67, Loss: 1.5236951112747192, Test accuracy: 0.39334002137184143
Epoch 68, Loss: 1.52167809009552, Test accuracy: 0.3938407599925995
Epoch 69, Loss: 1.5178803205490112, Test accuracy: 0.39334002137184143
Epoch 70, Loss: 1.5173718929290771, Test accuracy: 0.3938407599925995
Epoch 71, Loss: 1.5151708126068115, Test accuracy: 0.394842267036438
Epoch 72, Loss: 1.5122227668762207, Test accuracy: 0.394842267036438
Epoch 73, Loss: 1.510077953338623, Test accuracy: 0.39534303545951843
Epoch 74, Loss: 1.5077142715454102, Test accuracy: 0.39659491181373596
Epoch 75, Loss: 1.50492262840271, Test accuracy: 0.39659491181373596
Epoch 76, Loss: 1.502938151359558, Test accuracy: 0.39734601974487305
Epoch 77, Loss: 1.5012774467468262, Test accuracy: 0.39834752678871155
Epoch 78, Loss: 1.4986129999160767, Test accuracy: 0.3988482654094696
Epoch 79, Loss: 1.497717261314392, Test accuracy: 0.4006009101867676
Epoch 80, Loss: 1.494469404220581, Test accuracy: 0.40110164880752563
Epoch 81, Loss: 1.4934935569763184, Test accuracy: 0.4016024172306061
Epoch 82, Loss: 1.4916589260101318, Test accuracy: 0.4018527865409851
Epoch 83, Loss: 1.4888325929641724, Test accuracy: 0.40310466289520264
Epoch 84, Loss: 1.4870859384536743, Test accuracy: 0.4046069085597992
Epoch 85, Loss: 1.4846949577331543, Test accuracy: 0.4048573076725006
Epoch 86, Loss: 1.4813863039016724, Test accuracy: 0.40535804629325867
Epoch 87, Loss: 1.4796665906906128, Test accuracy: 0.4056084156036377
Epoch 88, Loss: 1.4769346714019775, Test accuracy: 0.40635955333709717
Epoch 89, Loss: 1.4767675399780273, Test accuracy: 0.4076114296913147
Epoch 90, Loss: 1.473271131515503, Test accuracy: 0.4088633060455322
Epoch 91, Loss: 1.473206639289856, Test accuracy: 0.4096144139766693
Epoch 92, Loss: 1.4699115753173828, Test accuracy: 0.41011518239974976
Epoch 93, Loss: 1.4681912660598755, Test accuracy: 0.41111668944358826
Epoch 94, Loss: 1.465254306793213, Test accuracy: 0.4113670587539673
Epoch 95, Loss: 1.464593529701233, Test accuracy: 0.4116174280643463
Epoch 96, Loss: 1.4613664150238037, Test accuracy: 0.4123685657978058
Epoch 97, Loss: 1.4592307806015015, Test accuracy: 0.41387081146240234
Epoch 98, Loss: 1.4568285942077637, Test accuracy: 0.41487231850624084
Epoch 99, Loss: 1.4557511806488037, Test accuracy: 0.4153730571269989
Epoch 100, Loss: 1.4538036584854126, Test accuracy: 0.4156234562397003
Epoch 101, Loss: 1.4524824619293213, Test accuracy: 0.4161241948604584
Epoch 102, Loss: 1.448238730430603, Test accuracy: 0.41687533259391785
Epoch 103, Loss: 1.4484606981277466, Test accuracy: 0.41787680983543396
Epoch 104, Loss: 1.4439674615859985, Test accuracy: 0.41862794756889343
Epoch 105, Loss: 1.4419903755187988, Test accuracy: 0.4193790853023529
Epoch 106, Loss: 1.4423744678497314, Test accuracy: 0.41987982392311096
Epoch 107, Loss: 1.4391263723373413, Test accuracy: 0.4203805923461914
Epoch 108, Loss: 1.437577486038208, Test accuracy: 0.42063096165657043
Epoch 109, Loss: 1.4342758655548096, Test accuracy: 0.42088133096694946
Epoch 110, Loss: 1.4324654340744019, Test accuracy: 0.42163246870040894
Epoch 111, Loss: 1.4324203729629517, Test accuracy: 0.422383576631546
Epoch 112, Loss: 1.4280105829238892, Test accuracy: 0.4233850836753845
Epoch 113, Loss: 1.428436517715454, Test accuracy: 0.42463696002960205
Epoch 114, Loss: 1.4255521297454834, Test accuracy: 0.4253880977630615
Epoch 115, Loss: 1.4226638078689575, Test accuracy: 0.42563846707344055
Epoch 116, Loss: 1.4212449789047241, Test accuracy: 0.4263896048069
Epoch 117, Loss: 1.420286774635315, Test accuracy: 0.42663997411727905
Epoch 118, Loss: 1.4173835515975952, Test accuracy: 0.42839258909225464
Epoch 119, Loss: 1.4150344133377075, Test accuracy: 0.42939409613609314
Epoch 120, Loss: 1.4121904373168945, Test accuracy: 0.4301452338695526
Epoch 121, Loss: 1.4103307723999023, Test accuracy: 0.4311467409133911
Epoch 122, Loss: 1.410378098487854, Test accuracy: 0.4318978488445282
Epoch 123, Loss: 1.4074578285217285, Test accuracy: 0.4328993558883667
Epoch 124, Loss: 1.4053653478622437, Test accuracy: 0.4339008629322052
Epoch 125, Loss: 1.405239224433899, Test accuracy: 0.4346519708633423
Epoch 126, Loss: 1.4004353284835815, Test accuracy: 0.4356534779071808
Epoch 127, Loss: 1.3985930681228638, Test accuracy: 0.43740612268447876
Epoch 128, Loss: 1.3977580070495605, Test accuracy: 0.4376564919948578
Epoch 129, Loss: 1.3964470624923706, Test accuracy: 0.4376564919948578
