?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0020

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0020
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.010013 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.026213 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.375958 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 0.319043 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 2.059414 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 6.805286 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 20.673632 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 3.189962 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 50.675327 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 1.053973 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 11.4783 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 1.94479 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 27.412967 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 0.212297 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.691756 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 107.447461 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 1.898004 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 39.171265 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.089945 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 1.293053 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 4.709231 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.004404 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 3.683617 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 0.220561 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.000345 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 0.004804 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.064296 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.005067 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 3.526747 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.12957 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 13.422517 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.178638 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 47.83679 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 424.996275 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 0.000032 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.002638 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 0.037623 UNLIMITED
  Essen_Hamburg ( Essen Hamburg ) 1 0.014673 UNLIMITED
  Koeln_Bremen ( Koeln Bremen ) 1 1.134701 UNLIMITED
  Karlsruhe_Nuernberg ( Karlsruhe Nuernberg ) 1 0.000464 UNLIMITED
  Muenchen_Berlin ( Muenchen Berlin ) 1 7.509254 UNLIMITED
  Dortmund_Muenchen ( Dortmund Muenchen ) 1 27.513211 UNLIMITED
