shunt_voltage,bus_voltage_V,current_mA,power_mW,State,Attack
608,5.189,752,3300,charging,Backdoor
684,5.185,724,3540,idle,Backdoor
789,5.177,789,4100,charging,Backdoor
784,5.169,654,3540,charging,Backdoor
739,5.181,659,3400,charging,Backdoor
749,5.181,504,2620,idle,Backdoor
475,5.201,535,3020,idle,Backdoor
699,5.193,615,3280,charging,Backdoor
650,5.193,732,2860,charging,Backdoor
630,5.185,586,2820,charging,Backdoor
845,5.173,855,4420,charging,Backdoor
549,5.197,610,2980,charging,Backdoor
503,5.197,479,2500,idle,Backdoor
871,5.169,816,3740,charging,Backdoor
656,5.185,726,3860,charging,Backdoor
581,5.197,676,2880,charging,Backdoor
758,5.177,675,3540,charging,Backdoor
549,5.193,608,3120,charging,Backdoor
668,5.173,858,3540,charging,Backdoor
474,5.197,475,2460,idle,Backdoor
903,5.181,659,3400,charging,Backdoor
496,5.197,480,2460,idle,Backdoor
662,5.181,757,4520,charging,Backdoor
708,5.189,660,3800,charging,Backdoor
515,5.193,594,3580,charging,Backdoor
669,5.177,751,4320,charging,Backdoor
554,5.189,576,3440,charging,Backdoor
682,5.185,650,3400,charging,Backdoor
737,5.185,621,3240,idle,Backdoor
500,5.201,631,3080,idle,Backdoor
678,5.189,580,2860,charging,Backdoor
470,5.201,498,2420,idle,Backdoor
580,5.189,707,3380,charging,Backdoor
470,5.201,496,2460,idle,Backdoor
476,5.201,475,2500,idle,Backdoor
505,5.201,476,2500,idle,Backdoor
853,5.177,657,3760,charging,Backdoor
922,5.177,784,3740,idle,Backdoor
605,5.181,555,2880,charging,Backdoor
518,5.185,771,3380,charging,Backdoor
619,5.181,764,3960,idle,Backdoor
672,5.193,509,2660,charging,Backdoor
689,5.177,866,4520,idle,Backdoor
548,5.193,554,2880,charging,Backdoor
639,5.185,784,3140,charging,Backdoor
676,5.193,912,2940,charging,Backdoor
653,5.169,765,4620,charging,Backdoor
544,5.193,687,3140,charging,Backdoor
586,5.189,622,3900,charging,Backdoor
837,5.185,657,3380,charging,Backdoor
630,5.189,761,3900,charging,Backdoor
616,5.177,543,2820,charging,Backdoor
657,5.193,516,3040,charging,Backdoor
693,5.189,539,2920,idle,Backdoor
795,5.173,654,3380,charging,Backdoor
669,5.181,740,5020,charging,Backdoor
542,5.185,581,3380,charging,Backdoor
811,5.169,656,3400,charging,Backdoor
735,5.169,782,5080,charging,Backdoor
549,5.189,651,3400,charging,Backdoor
481,5.197,479,2500,idle,Backdoor
553,5.189,550,3280,charging,Backdoor
801,5.177,588,2860,charging,Backdoor
871,5.185,650,3340,charging,Backdoor
760,5.169,657,3760,charging,Backdoor
865,5.181,839,2660,idle,Backdoor
498,5.201,486,2520,idle,Backdoor
646,5.189,558,3080,idle,Backdoor
620,5.185,668,3220,idle,Backdoor
731,5.177,737,3440,idle,Backdoor
482,5.201,477,2500,idle,Backdoor
761,5.177,757,3400,charging,Backdoor
549,5.193,699,3440,charging,Backdoor
751,5.185,547,2860,charging,Backdoor
761,5.181,645,4300,charging,Backdoor
551,5.197,569,3540,charging,Backdoor
726,5.185,646,2880,charging,Backdoor
540,5.197,503,2860,charging,Backdoor
746,5.193,579,2660,charging,Backdoor
568,5.193,742,3680,charging,Backdoor
830,5.165,792,3800,charging,Backdoor
738,5.193,506,2620,charging,Backdoor
488,5.201,472,2460,idle,Backdoor
784,5.169,953,3600,charging,Backdoor
625,5.189,624,3220,idle,Backdoor
661,5.185,758,3900,charging,Backdoor
755,5.185,672,3760,idle,Backdoor
616,5.177,643,2880,charging,Backdoor
477,5.201,480,2620,idle,Backdoor
481,5.201,477,2500,idle,Backdoor
548,5.197,583,3300,charging,Backdoor
528,5.197,503,2580,charging,Backdoor
818,5.169,658,3400,charging,Backdoor
471,5.197,471,2460,idle,Backdoor
962,5.169,865,3540,charging,Backdoor
595,5.189,600,2880,charging,Backdoor
546,5.193,615,3120,charging,Backdoor
752,5.197,533,3080,charging,Backdoor
706,5.197,540,2820,charging,Backdoor
546,5.189,612,3180,idle,Backdoor
550,5.193,556,3080,charging,Backdoor
915,5.165,994,5140,charging,Backdoor
481,5.197,589,3380,idle,Backdoor
471,5.201,470,2460,idle,Backdoor
622,5.197,484,3120,idle,Backdoor
611,5.185,658,3500,charging,Backdoor
659,5.193,523,3140,charging,Backdoor
